QUESTION_ID,QUESTION,ANS_LONG,IS_ON_TOPIC,ANS_SHORT
1000013824,tell me about myself,,FALSE,
1000013825,What is an Ecosystem?,"<h1 class=""topicTitle"">Watson Ecosystem</h1> <p>The IBM Watson Ecosystem will bring the cognitive capabilities of Watson to the cloud, allowing third parties to harness Watson's abilities to:
</p><p>-- Navigate the complexities of natural language.</p>
<p>-- Analyze vast and disparate sources of information returning confidence-weighted, evidence-based responses.</p>
<p>-- Adapt and learn with new interactions and outcomes.
</p><p>A new class of cognitive systems is emerging that can help give organizations the opportunity to change the way they think, act, and operate. The ecosystem brings together IBM's technology, tools, brand, and marketing with partners' experience, offerings, domain knowledge, and presence.
</p>",TRUE,
1000013826,is watson smarter than siri,"<h1 class=""topicTitle"">What's the difference between Siri and Watson?</h1> <p>While Siri acts much like a voice activated search engine, identifying the closest match to the user input and referencing it including activating built-in mobile device functions. In contrast, Watson is unique in that it is fundamentally reasoning over unstructured information. Watson is actually taking the entire thought process from a person in the way they naturally speak, hypothesizing what the user is asking for, and then returning a high-confidence response.</p><span>
</span>",TRUE,
1000013827,Who is your favorite employee?,,FALSE,
1000013828,What is Skynet?,"<h1 class=""topicTitle"">What is artificial intelligence?</h1> <p>Artificial intelligence is the theory and development of computer systems able to perform tasks that normally require human intelligence, such as visual perception, speech recognition, decision-making, and translation between languages.
</p>",TRUE,
1000013829,What do you think of google?,,FALSE,
1000013830,Open the pod bay doors,,FALSE,
1000013831,Who is Steve Mills?,"<h1 class=""topicTitle"">Who is Steve Mills?</h1> 
<p>Steve Mills is the Senior Vice President and Group Executive of IBM's Software Group and Systems and Technology Group. He joined IBM in 1973 after graduating New York's Union College. He has held various executive leadership positions in IBM since 1989. He has played a leading role in the growth of IBM Software Group since its inception in 1995. </p><span>
</span>",TRUE,
1000013833,how clever are you?,,FALSE,
1000013834,how does watson pipeline determine influencing features?,"<h1 class=""topicTitle"">Can Watson help me identify Industry influencers?</h1> <p>If Watson is provided with industry information such as research, news articles, social media feeds, and other forms of content, Watson may have the ability to analyze all of the data and suggest a prominent figure in each industry. In terms of determining how much one person can influence an industry is a tougher question to answer and relies more heavily on human perception.
</p>",TRUE,
1000013835,what is the meaning of life?,,FALSE,
1000013836,What's my bame,,FALSE,
1000013837,Watson you're annoying me.,,FALSE,
1000013838,who is warren buffet,,FALSE,
1000013839,What is the weather today,,FALSE,
1000013840,H,,FALSE,
1000013841,hi there,,FALSE,
1000013842,What is uema,"<h1 class=""topicTitle"">Unstructured Information Management Architecture (UIMA)</h1> <p>UIMA is a framework for building analytic solutions that can use both unstructured and structured data. The IBM Watson question answering pipeline is built on the UIMA framework.
</p><p>The IBM Watson pipeline includes a set of UIMA annotators that are used to respond to questions and generate answers. UIMA is available as an open source framework under the Apache license.
</p><p>Each UIMA component must implement interfaces defined by the framework and must provide self-describing metadata via XML descriptor files. The framework manages these components and the data flow between them. Components are written in Java or C++; the data that flows between components is designed for efficient mapping between these languages. UIMA additionally provides capabilities to wrap components as network services, and can scale to very large volumes by replicating processing pipelines over a cluster of networked nodes.
</p>",TRUE,
1000013843,How do you split an atom?,,FALSE,
1000013844,watson i love you,,FALSE,
1000013845,"what time is it in columbus, oh?",,FALSE,
1000013846,how smart are you,"<h1 class=""topicTitle"">How smart are you?</h1> <p>Watson is a learning system. Just like a student, it improves with training, experience, and access to better data. While there is no quantitative measurement of how &quot;smart&quot; Watson is, a variety of organizations are finding it to be a very valuable advisor in data-intensive situations. http://www.youtube.com/watch?v=np1sJ08Q7lw.</p><span>
</span>",TRUE,
1000013847,how do you feel today,,FALSE,
1000013848,are you smarter than a fith grader,"<h1 class=""topicTitle"">How smart are you?</h1> <p>Watson is a learning system. Just like a student, it improves with training, experience, and access to better data. While there is no quantitative measurement of how &quot;smart&quot; Watson is, a variety of organizations are finding it to be a very valuable advisor in data-intensive situations. http://www.youtube.com/watch?v=np1sJ08Q7lw.</p><span>
</span>",TRUE,
1000013849,What's today's date,,FALSE,
1000013850,Who is Obed?,"<h1 class=""topicTitle"">Who is Obed Louissaint?</h1> 
<p>Obed Louissaint is the Vice President of Human Resources, IBM Watson. IBM's newest business unit focused on transforming industries and professions, advancing cognitive solutions across enterprises, and delivering the cognitive experience to the mass market. Previously, Obed was VP, Human Resources with global responsibility for the HR business partners for IBM who advise over 40,000 managers across the enterprise. The HR generalists are the client facing segment of the global team of HR professionals and collaborate with each of the functional disciplines to administer corporate policies and people solutions.</p><span>
</span>",TRUE,
1000013851,what is doing in genomic research?,"<h1 class=""topicTitle"">Cleveland Clinic Use Watson to Advance Genomic Research for Cancer Care Pilot</h1> <p>In October 2014, a new initiative was announced to accelerate the adoption of genomic based medicine at Cleveland Clinic. Researchers at Cleveland Clinic will use IBM <a href=""http://www-03.ibm.com/innovation/us/watson/"">Watson</a> technology in the area of genomic research to help oncologists deliver personalized medicine by uncovering new cancer treatment options for patients.
</p><p>The Lerner Research Institute's Genomic Medicine Institute at Cleveland Clinic plans to evaluate Watson's ability to help oncologists develop more personalized care to patients for a variety of cancers. Clinicians lack the tools and time required to bring DNA-based treatment options to their patients and to do so, they must correlate data from genome sequencing to reams of medical journals, new studies and clinical records. At a time when medical information is doubling every five years, a faster option is needed.
</p><p>This use of Watson aims to find the &quot;needle in the haystack&quot; through identifying patterns in genome sequencing and medical data to unlock insights that will help clinicians bring the promise of genomic medicine to their patients. The combination of Cleveland Clinic's clinical expertise coupled with the power of IBM's Watson system will enable improvements to, and learnings within, the Watson tool with the shared goal of helping medical professionals develop personalized cancer care.
</p>",TRUE,
1000013852,2 3,,FALSE,
1000013853,hey,,FALSE,
1000013855,Nice. What do you do?,"<h1 class=""topicTitle"">What can Watson do?</h1> <p>Watson is the very embodiment of this new era of cognitive systems. It represents a new class of industry-specific analytic solutions that leverages deep content analysis and evidence-based reasoning to accelerate and improve decisions, reduce operational costs and optimize outcomes. Watson accomplishes all this based on a set of transformational technologies which leverage natural language, hypothesis generation and evidence-based learning. It combines these technologies and applies massive parallel probabilistic processing techniques to fundamentally change the way businesses look at solving problems quickly. But Watson is more than the sum of its parts; Watson is about bringing a unique combination of capabilities together in a way that's never been done before, resulting in a fundamental change in the way decisions are made.
</p>",TRUE,
1000013856,Why do we need a simple term matcher framework?,,FALSE,
1000013857,When will Eric Brown post about metrics on the blog?,,FALSE,
1000013858,Is Ferrucci happier now?,,FALSE,
1000013859,Why is EDI so complicated?,,FALSE,
1000013860,Where was Rob this week?,,FALSE,
1000013861,Where does David Gondek work now?,,FALSE,
1000013862,What is depablification?,,FALSE,
1000013863,Is EMRA to slow?,,FALSE,
1000013864,Why did we choose Spanish?,,FALSE,
1000013865,Is Watson a boy or girl,,FALSE,
1000013866,what does carl kraenzel do during the day,,FALSE,
1000013867,how many watts in demonstration projects are in progress,,FALSE,
1000013868,"I asked an ""essay"" question and Watson answered with a Yes/No answer.",,FALSE,
1000013869,What is soup,,FALSE,
1000013870,What's the weather,,FALSE,
1000013871,who is president of america?,,FALSE,
1000013872,Â¡Yo queiro Taco Bell!,,FALSE,
1000013873,It's not a tumor,,FALSE,
1000013874,Is it a tumor?,,FALSE,
1000013875,What is the weather outside?,,FALSE,
1000013876,is joe a superhero,,FALSE,
1000013877,i am not impressed,,FALSE,
1000013878,where is your house?,,FALSE,
1000013879,Do you like Siri ?,,FALSE,
1000013880,Who is the prime minister of india,,FALSE,
1000013881,Hello Watson,,FALSE,
1000013882,How much does Ready To Learn cost?,,FALSE,
1000013883,What does the term CTP mean?,"<h1 class=""topicTitle"">CTP</h1> <p>Common tooling platform. A Watson platform for developing tools, customizations, and integrations to existing CTP tools for Watson system development, testing and accuracy analysis.
</p>",TRUE,
1000013885,ì•ˆë…• í•˜ì„¸ì_”,,FALSE,
1000013886,Are you related to HAL?,,FALSE,
1000013887,Will you turn into Skynet?,"<h1 class=""topicTitle"">What is the difference between Watson and artificial intelligence?</h1> <p>Cognitive computing systems learn and interact naturally with people to extend what either humans or machines could do on their own. They help humans make better decisions by penetrating the complexity of Big Data. <a href=""http://www.youtube.com/watch?v=np1sJ08Q7lw"">http://www.youtube.com/watch?v=np1sJ08Q7lw</a>.</p>
<p>While IBM Watson uses elements of AI such as machine learning, cognitive computing represents an entirely new shift in technology.
</p>",TRUE,
1000013888,what is MLP,,FALSE,
1000013889,What is 122 / 122 ?,,FALSE,
1000013890,Can I get what some for free?,,FALSE,
1000013891,rob high,"<h1 class=""topicTitle"">Who is Rob High?</h1> <p>Rob High is IBM Fellow, Vice President and Chief Technology Officer, Watson Solutions, IBM Software Group. He has overall responsibility to drive Watson Solutions technical strategy and thought leadership. As a key member of the Watson Solutions Leadership team, Rob works collaboratively with the Watson engineering, research, and development teams across IBM.
</p>",TRUE,
1000013892,Do you live in IBM?,,FALSE,
1000013893,Watson life,"<h1 class=""topicTitle"">What is Watson Life?</h1> <p>Watson Life will ultimately be a suite of apps that put Watson in the hands of the mass market, giving consumers the ability to experience Watson and cognitive computing in their daily lives. These apps will focus on very specific use cases such as cooking.</p><span>
</span>",TRUE,
1000013894,Is Siri your best fridn,,FALSE,
1000013895,What are key use cases for system u,"<h1 class=""topicTitle"">What is System U?</h1> <p>System U is a tool to analyze social media activity, e.g. Twitter, to capture customers' behavior and understand why they behave in certain ways (psychological portraits / client insights).</p><span>
</span>",TRUE,
1000013896,What is the capital of Germany?,,FALSE,
1000013897,Hi Watson. What's up?,,FALSE,
1000013898,Hello Watson.,,FALSE,
1000013899,How are you,,FALSE,
1000013900,Who is the president of the United States?,,FALSE,
1000013901,What is Ukraine?,,FALSE,
1000013902,Who is Barack Obama?,,FALSE,
1000013903,Who is Warren Buffett?,,FALSE,
1000013904,how do I find the north star,,FALSE,
1000013905,how is ML done?,"<h1 class=""topicTitle"">Watson and Machine Learning</h1> <p>Machine learning helps Watson teach itself and learn from experts. Experts train and refine Watson's evaluation of evidence and relationships and it applies this learning to future evaluation. This is an example of &quot;machine learning.&quot;
</p>",TRUE,
1000013906,blah blah blah turing test blah blah blah,,FALSE,
1000013907,blah blah blah,,FALSE,
1000013908,answer,,FALSE,
1000013909,what is 40 degrees celcius in fahrenheit,,FALSE,
1000013910,who is the president,,FALSE,
1000013911,Can you tell me about the weather,,FALSE,
1000013912,why do i want to work on watson?,"<h1 class=""topicTitle"">How will Watson change the world?</h1> <p>The vision for IBM Watson is the very embodiment of the new era of cognitive systems. It represents a new class of industry-specific analytic solutions that leverages deep content analysis and evidence-based reasoning to accelerate and improve decisions, reduce operational costs and optimize outcomes.
</p>",TRUE,
1000013913,Would you like a taco?,,FALSE,
1000013914,What is 5   6?,,FALSE,
1000013915,what is your weakness,"<h1 class=""topicTitle"">What can't Watson do?</h1> <p>As a machine, there are many things that Watson can not do such as have emotions. Watson is a cognitive system that emulates certain elements of the human thought process. But these are early days of the new era of computing and Watson has barely scratched the surface of what will be possible over the course of time.
</p>",TRUE,
1000013916,do you know kung-fu?,,FALSE,
1000013917,Is Watson free for dinner tonight?,,FALSE,
1000013918,what day is it,,FALSE,
1000013919,what is todays date,,FALSE,
1000013920,what is the date today,,FALSE,
1000013921,How is Watson different from a toaster?,,FALSE,
1000013922,What is David Ferrucci doing now?,,FALSE,
1000013923,blah blah turing test blah blah?,,FALSE,
1000013924,What is Lotus Notes?,,FALSE,
1000013926,What is a reference?,,FALSE,
1000013927,how tall is Watson?,,FALSE,
1000013928,What is Watson Wonko-Vator Supreme?,,FALSE,
1000013929,what time is it in CDT,,FALSE,
1000013930,Should I begin smoking?,,FALSE,
1000013931,what is the purpose of this system,"<h1 class=""topicTitle"">What is Watson on Watson?</h1> <p>Watson on Watson is an instance of Watson Engagement Advisor. It is a working sample application that can answer questions about products and technologies in the Watson group. The corpus includes both technical content and sales and marketing content.
</p>",TRUE,
1000013933,dicarlo,,FALSE,
1000013934,system requirements,,FALSE,
1000013935,Why do I need a SCCD ID?,"<h1 class=""topicTitle"">What is the SmartCloud Control Desk (SCCD)?</h1> <p>IBM SmartCloud Control Desk (SCCD) is an enterprise application that the Watson Cloud Technology and Support team uses to manage customer incidents. SCCD is used by IBM employees to open an incident with Support. You must have an SCCD ID to open an incident using SCCD.</p>
<p><a href=""https://ibm.biz/sccdrequestid""><b>https://ibm.biz/sccdrequestid</b></a> </p><span>
</span>",TRUE,
1000013936,do you know siri?,"<h1 class=""topicTitle"">What's the difference between Siri and Watson?</h1> <p>While Siri acts much like a voice activated search engine, identifying the closest match to the user input and referencing it including activating built-in mobile device functions. In contrast, Watson is unique in that it is fundamentally reasoning over unstructured information. Watson is actually taking the entire thought process from a person in the way they naturally speak, hypothesizing what the user is asking for, and then returning a high-confidence response.</p><span>
</span>",TRUE,
1000013937,do you know google?,,FALSE,
1000013938,How do I obtain a SCCD ID?,"<h1 class=""topicTitle"">How can I request a SmartCloud Control Desk (SCCD) ID?</h1> <p>To request a SmartCloud Control Desk (SCCD) ID, use the steps defined in the following Connections page:</p>
<p><a href=""https://ibm.biz/sccdrequestid""><b>https://ibm.biz/sccdrequestid</b></a> </p><span>
</span>",TRUE,
1000013939,How good is Watson?,"<h1 class=""topicTitle"">Performance</h1> <p>In Watson terms, performance refers to the system's accuracy, precision, and recall in answering questions.
</p>",TRUE,
1000013940,spss,"<h1 class=""topicTitle"">IBM SPSS Statistics</h1> <p>IBM SPSS Statistics software is used by a variety of customers to solve industry specific business issues to drive quality decision-making. Methods like forecasting, analyzing trends and assumption validation can provide a robust, user friendly platform to understand your data and solve complex business and research problems.
</p>",TRUE,
1000013941,sps,,FALSE,
1000013942,What configset are you using?,,FALSE,
1000013943,When is project finished?,,FALSE,
1000013944,what is the capitol of texas?,,FALSE,
1000013945,request a sccd id,"<h1 class=""topicTitle"">How can I request a SmartCloud Control Desk (SCCD) ID?</h1> <p>To request a SmartCloud Control Desk (SCCD) ID, use the steps defined in the following Connections page:</p>
<p><a href=""https://ibm.biz/sccdrequestid""><b>https://ibm.biz/sccdrequestid</b></a> </p><span>
</span>",TRUE,
1000013946,how do i get watson?,"<h1 class=""topicTitle"">How can I get access to Watson?</h1> <p>You can contact us at ibmwatson@us.ibm.com or tweet us at @IBMWatson to reach out to your local sales representative.
</p>",TRUE,
1000013947,parature,,FALSE,
1000013948,can I see Watson?,"<h1 class=""topicTitle"">What is the Client Experience Center?</h1> <p>In our Client Experience Center, we've designed a highly interactive, immersive space to showcase the technology and bring to life the promise of what can be achieved with Watson.
</p>",TRUE,
1000013949,What state is this?,,FALSE,
1000013950,what is 2 2,,FALSE,
1000013951,what is two plus two,,FALSE,
1000013952,"what is more powerful, a .223 caliber bullet or a .45 caliber bullet",,FALSE,
